description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
Leishmania phagocytosis,11004,42108,14,"[[], ['REAC'], [], ['REAC'], [], ['REAC'], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], []]",Leishmania phagocytosis,REAC:R-HSA-9664417,9.38875565292393e-10,['REAC:R-HSA-9664407'],0.13592233009708737,query_1,103,0.12389380530973451,True,REAC,113,1325,13
FCGR3A-mediated phagocytosis,11004,41690,14,"[[], ['REAC'], [], ['REAC'], [], ['REAC'], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], []]",FCGR3A-mediated phagocytosis,REAC:R-HSA-9664422,9.38875565292393e-10,['REAC:R-HSA-9664417'],0.13592233009708737,query_1,103,0.12389380530973451,True,REAC,113,907,13
Parasite infection,11004,42512,14,"[[], ['REAC'], [], ['REAC'], [], ['REAC'], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], []]",Parasite infection,REAC:R-HSA-9664407,9.38875565292393e-10,['REAC:R-HSA-9658195'],0.13592233009708737,query_1,103,0.12389380530973451,True,REAC,113,1729,13
FCGR3A-mediated IL10 synthesis,11004,41689,13,"[[], ['REAC'], [], ['REAC'], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",FCGR3A-mediated IL10 synthesis,REAC:R-HSA-9664323,1.0834550151195856e-09,['REAC:R-HSA-9662851'],0.1262135922330097,query_1,103,0.14130434782608695,True,REAC,92,906,13
Fcgamma receptor (FCGR) dependent phagocytosis,11004,41730,15,"[[], ['REAC'], [], ['REAC'], [], ['REAC'], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], []]",Fcgamma receptor (FCGR) dependent phagocytosis,REAC:R-HSA-2029480,1.2509192878381147e-09,['REAC:R-HSA-168249'],0.14563106796116504,query_1,103,0.10714285714285714,True,REAC,140,947,17
Initial triggering of complement,11004,41996,12,"[[], ['REAC'], [], ['REAC'], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Initial triggering of complement,REAC:R-HSA-166663,2.0348116410543387e-09,['REAC:R-HSA-166658'],0.11650485436893204,query_1,103,0.15789473684210525,True,REAC,76,1213,15
Regulation of Complement cascade,11004,42770,13,"[[], ['REAC'], [], ['REAC'], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Regulation of Complement cascade,REAC:R-HSA-977606,3.6962623706949184e-09,['REAC:R-HSA-166658'],0.1262135922330097,query_1,103,0.12871287128712872,True,REAC,101,1987,15
FCERI mediated MAPK activation,11004,41686,12,"[[], ['REAC'], [], ['REAC'], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",FCERI mediated MAPK activation,REAC:R-HSA-2871796,6.0197459128559e-09,['REAC:R-HSA-2454202'],0.11650485436893204,query_1,103,0.14457831325301204,True,REAC,83,903,16
FCERI mediated Ca+2 mobilization,11004,41685,12,"[[], ['REAC'], [], ['REAC'], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",FCERI mediated Ca+2 mobilization,REAC:R-HSA-2871809,6.0197459128559e-09,['REAC:R-HSA-2454202'],0.11650485436893204,query_1,103,0.14457831325301204,True,REAC,83,902,16
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,11004,40936,12,"[[], ['REAC'], [], ['REAC'], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,REAC:R-HSA-983695,6.969227392790321e-09,['REAC:R-HSA-983705'],0.11650485436893204,query_1,103,0.14285714285714285,True,REAC,84,153,14
Anti-inflammatory response favouring Leishmania parasite infection,11004,40934,14,"[[], ['REAC'], [], ['REAC'], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], []]",Anti-inflammatory response favouring Leishmania parasite infection,REAC:R-HSA-9662851,7.3051266643681146e-09,['REAC:R-HSA-9664433'],0.13592233009708737,query_1,103,0.10687022900763359,True,REAC,131,151,13
Leishmania parasite growth and survival,11004,42107,14,"[[], ['REAC'], [], ['REAC'], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], []]",Leishmania parasite growth and survival,REAC:R-HSA-9664433,7.3051266643681146e-09,['REAC:R-HSA-9658195'],0.13592233009708737,query_1,103,0.10687022900763359,True,REAC,131,1324,13
Cell surface interactions at the vascular wall,11004,41112,16,"[[], ['REAC'], [], ['REAC'], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], ['REAC'], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Cell surface interactions at the vascular wall,REAC:R-HSA-202733,1.0761815390133318e-08,['REAC:R-HSA-109582'],0.1553398058252427,query_1,103,0.08333333333333333,True,REAC,192,329,19
